FARM,DATA,TYPE,YearClass,Gen,Mes,value,Year,Month,last,id
Consolidado,biomass end of month,biomass,TOTAL,TOTAL,a_Aug-2024,3354551.15230951,2024,8,False,ConsolidadoTOTAL2024a_Aug-2024
Consolidado,biomass end of month,biomass,a.0 - 300,a.0 - 300,a_Aug-2024,264352.2948001605,2024,8,False,Consolidadoa.0 - 3002024a_Aug-2024
Consolidado,biomass end of month,biomass,b.300 - 400,b.300 - 400,a_Aug-2024,134176.14374121817,2024,8,False,Consolidadob.300 - 4002024a_Aug-2024
Consolidado,biomass end of month,biomass,c.400 - 600,c.400 - 600,a_Aug-2024,231206.75751979314,2024,8,False,Consolidadoc.400 - 6002024a_Aug-2024
Consolidado,biomass end of month,biomass,d.600 - 800,d.600 - 800,a_Aug-2024,323396.19377915026,2024,8,False,Consolidadod.600 - 8002024a_Aug-2024
Consolidado,biomass end of month,biomass,e.800 - 1000,e.800 - 1000,a_Aug-2024,391007.7643753237,2024,8,False,Consolidadoe.800 - 10002024a_Aug-2024
Consolidado,biomass end of month,biomass,f.1000 - 1500,f.1000 - 1500,a_Aug-2024,796307.839915033,2024,8,False,Consolidadof.1000 - 15002024a_Aug-2024
Consolidado,biomass end of month,biomass,g.1500 - 2000,g.1500 - 2000,a_Aug-2024,657789.6350672002,2024,8,False,Consolidadog.1500 - 20002024a_Aug-2024
Consolidado,biomass end of month,biomass,h.2000 - 2500,h.2000 - 2500,a_Aug-2024,276204.1883343583,2024,8,False,Consolidadoh.2000 - 25002024a_Aug-2024
Consolidado,biomass end of month,biomass,i.2500 - 3000,i.2500 - 3000,a_Aug-2024,70124.79375653355,2024,8,False,Consolidadoi.2500 - 30002024a_Aug-2024
Consolidado,biomass end of month,biomass,j.3000 - 4000,j.3000 - 4000,a_Aug-2024,209985.54102073915,2024,8,False,Consolidadoj.3000 - 40002024a_Aug-2024
Consolidado,biomass end of month,biomass,k.4000,k.4000,a_Aug-2024,0.0,2024,8,False,Consolidadok.40002024a_Aug-2024
Consolidado,culling,avweight,2022,22 3,a_Aug-2024,0.0,2024,8,False,Consolidado22 32024a_Aug-2024
Consolidado,culling,avweight,2022,22 4,a_Aug-2024,0.0,2024,8,False,Consolidado22 42024a_Aug-2024
Consolidado,culling,avweight,2023,23 1,a_Aug-2024,0.0,2024,8,False,Consolidado23 12024a_Aug-2024
Consolidado,culling,avweight,2023,23 2,a_Aug-2024,0.0,2024,8,False,Consolidado23 22024a_Aug-2024
Consolidado,culling,avweight,2023,23 3,a_Aug-2024,0.0,2024,8,False,Consolidado23 32024a_Aug-2024
Consolidado,culling,avweight,2023,23 4,a_Aug-2024,0.0,2024,8,False,Consolidado23 42024a_Aug-2024
Consolidado,culling,avweight,2024,24 1,a_Aug-2024,0.0,2024,8,False,Consolidado24 12024a_Aug-2024
Consolidado,culling,avweight,2024,24 2,a_Aug-2024,69.95823025941047,2024,8,False,Consolidado24 22024a_Aug-2024
Consolidado,culling,avweight,2024,24 3,a_Aug-2024,0.0,2024,8,False,Consolidado24 32024a_Aug-2024
Consolidado,culling,avweight,2024,24 4,a_Aug-2024,0.0,2024,8,False,Consolidado24 42024a_Aug-2024
Consolidado,culling,avweight,2025,25 1,a_Aug-2024,0.0,2024,8,False,Consolidado25 12024a_Aug-2024
Consolidado,culling,avweight,2025,25 2,a_Aug-2024,0.0,2024,8,False,Consolidado25 22024a_Aug-2024
Consolidado,culling,avweight,TOTAL,TOTAL,a_Aug-2024,69.95823025941047,2024,8,False,ConsolidadoTOTAL2024a_Aug-2024
Consolidado,culling,biomass,2022,22 3,a_Aug-2024,0.0,2024,8,False,Consolidado22 32024a_Aug-2024
Consolidado,culling,biomass,2022,22 4,a_Aug-2024,0.0,2024,8,False,Consolidado22 42024a_Aug-2024
Consolidado,culling,biomass,2023,23 1,a_Aug-2024,0.0,2024,8,False,Consolidado23 12024a_Aug-2024
Consolidado,culling,biomass,2023,23 2,a_Aug-2024,0.0,2024,8,False,Consolidado23 22024a_Aug-2024
Consolidado,culling,biomass,2023,23 3,a_Aug-2024,0.0,2024,8,False,Consolidado23 32024a_Aug-2024
Consolidado,culling,biomass,2023,23 4,a_Aug-2024,0.0,2024,8,False,Consolidado23 42024a_Aug-2024
Consolidado,culling,biomass,2024,24 1,a_Aug-2024,0.0,2024,8,False,Consolidado24 12024a_Aug-2024
